,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
115,Fox News,Veteran trying to reunite belongings with mystery @usairforce veteran #ProudAmerican https://t.co/WnaPZ5kuyu,Mon May 28 22:44:09 +0000 2018,0.0,0.0,1.0,0.0
116,Fox News,Las Vegas boycotts capital letters ahead of Stanley Cup finals against the Washington Capitals https://t.co/VaSqBx0SZV,Mon May 28 22:39:30 +0000 2018,-0.34,0.0,0.854,0.146
117,Fox News,"Moments ago, former President @GeorgeHWBush tweeted that he is ""forever grateful"" for the servicemen and women who… https://t.co/WtR9r071uh",Mon May 28 22:28:57 +0000 2018,0.4588,0.15,0.85,0.0
118,Fox News,World War II veteran posthumously honored with Purple Heart #ProudAmerican  https://t.co/O3RgI4jNNE,Mon May 28 22:09:28 +0000 2018,-0.0258,0.228,0.539,0.234
119,Fox News,Members of the United States Armed Forces unfurl a 100-foot American flag during the annual Memorial Day ceremony a… https://t.co/JjDqtJIUEd,Mon May 28 21:57:54 +0000 2018,0.4215,0.135,0.865,0.0
120,CNN,Pilot accused of kidnapping and trying to deport Chinese flight student https://t.co/f4tojoe2NN https://t.co/xgPK1yXjRJ,Tue May 29 00:00:06 +0000 2018,-0.296,0.0,0.845,0.155
121,CNN,Virginia Rep. Tom Garrett won't seek re-election to get treatment for alcoholism https://t.co/Ww81LU4F2c https://t.co/Cf69pM5frr,Mon May 28 23:45:08 +0000 2018,0.0,0.0,1.0,0.0
122,CNN,Parents of Parkland victims are outraged about a new video game that would let players shoot up a school… https://t.co/S0Uji89lZf,Mon May 28 23:30:10 +0000 2018,-0.802,0.0,0.647,0.353
123,CNN,Here's what you might have missed this Memorial Day on CNN https://t.co/L50p5iPBu4 https://t.co/scx1KIDF6Q,Mon May 28 23:15:01 +0000 2018,-0.296,0.0,0.845,0.155
124,CNN,Starbucks around the US are closing for anti-bias training https://t.co/AgHakhvYcj https://t.co/MFA5Q3TUYk,Mon May 28 23:00:16 +0000 2018,0.0,0.0,1.0,0.0
125,CNN,"After seeing two black men arrested in at a Starbucks in Philadelphia, Melissa DePino says she's ""finished tiptoein… https://t.co/grndY3KMHW",Mon May 28 22:30:04 +0000 2018,-0.4767,0.0,0.846,0.154
126,CNN,"They weren't going to play the National Anthem before a softball game, so fans started singing… https://t.co/4aUGSTIZKy",Mon May 28 22:00:08 +0000 2018,-0.2584,0.0,0.88,0.12
127,CNN,"Sgt. Eddison Hermond is missing after being swept away by historic flooding in Ellicott City, Maryland. Witnesses s… https://t.co/Wv9EI1uikz",Mon May 28 21:45:20 +0000 2018,-0.296,0.0,0.891,0.109
128,CNN,Misty Copeland is the first female African-American principal dancer in the American Ballet Theatre. She says partn… https://t.co/JVUleLrzZH,Mon May 28 21:45:00 +0000 2018,0.0,0.0,1.0,0.0
129,CNN,"The best things to do in Guadalajara, Mexico https://t.co/gnMB7RyWDB https://t.co/rMBR2CFs2l",Mon May 28 21:34:33 +0000 2018,0.6369,0.318,0.682,0.0
130,CNN,"Rapper Falz's ""This is Nigeria"" video holds up a mirror for the country https://t.co/1xvMdztVpx https://t.co/qq0BbJWqjQ",Mon May 28 21:15:05 +0000 2018,0.0,0.0,1.0,0.0
131,CNN,JUST IN: Subtropical Storm Alberto is making landfall in Florida and will continue to bring a flood threat to the s… https://t.co/fqE6SeWjvc,Mon May 28 21:00:48 +0000 2018,-0.5267,0.0,0.855,0.145
132,CNN,This young Malian migrant is being lauded in France after he scaled the outside of a building in Paris to rescue a… https://t.co/7deUsBh1oM,Mon May 28 20:46:03 +0000 2018,0.5106,0.136,0.864,0.0
133,CNN,"Aerial footage from Hawaii shows lava encroaching on a geothermal plant. As of Friday, the oozing lava had destroye… https://t.co/pDyzigz1EZ",Mon May 28 20:30:49 +0000 2018,0.0,0.0,1.0,0.0
134,CNN,President Trump ramps up pressure to get North Korea summit on track https://t.co/A5XjmuvRf3 https://t.co/2T2OGVVbhO,Mon May 28 20:15:04 +0000 2018,-0.296,0.0,0.855,0.145
135,CNN,A teacher in Georgia responded the only way she knew how after receiving a letter from President Trump filled with… https://t.co/dyvHqnN7aR,Mon May 28 20:00:05 +0000 2018,0.0,0.0,1.0,0.0
136,CNN,Ivanka Trump granted 7 new trademarks in China https://t.co/3KopiwxcgW https://t.co/SaEiTRFphP,Mon May 28 19:43:04 +0000 2018,0.25,0.2,0.8,0.0
137,CNN,"Rumors that Nicki Minaj was dating Emimen started flying after a new song featuring Minaj dropped. But, alas, it al… https://t.co/EuIpQtVpRT",Mon May 28 19:37:05 +0000 2018,-0.2732,0.0,0.9,0.1
138,CNN,Thinking about buying an annuity? Here are the actual costs https://t.co/CWNxhQsvV8 https://t.co/fcgJ6ulH3h,Mon May 28 19:29:05 +0000 2018,0.0,0.0,1.0,0.0
139,CNN,Ivanka Trump is facing backlash for posting this photo of herself embracing her 2-year-old son amid reports of fami… https://t.co/VnZinlSGvF,Mon May 28 19:22:00 +0000 2018,0.0,0.0,1.0,0.0
